cve_id,source_identifier,vuln_status,published_at,last_modified_at,description,affected_software_json,cvss_json,cwes_json,references_json,configurations_json
CVE-2017-20232,nvd@nist.gov,Rejected,2026-08-21T17:16:25.950Z,2026-08-21T17:16:25.950Z,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.,[],[],[],[],[]
CVE-2017-20268,nvd@nist.gov,Modified,2026-06-19T17:16:13.930Z,2026-08-21T13:41:46.107Z,Joomla! Component Zap Calendar Lite 4.3.4 contains an SQL injection vulnerability that allows unauthenticated attackers to execute arbitrary SQL queries by injecting malicious code through the 'eid' parameter. Attackers can send GET requests to the RSVP plugin endpoint with crafted SQL payloads to extract sensitive database information including database names and table structures.,"[{""cpe"":""cpe:2.3:a:zcontent:zap_calendar_lite:4.3.4:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""48BF6532-DA1F-4CAA-B48F-4F70F65E2A20"",""part"":""a"",""product"":""zap_calendar_lite"",""vendor"":""zcontent"",""version"":""4.3.4"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""https://extensions.joomla.org/extensions/extension/calendars-a-events/events/zap-calendar-lite/""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42500""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-component-zap-calendar-lite-sql-injection""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""https://zcontent.net/""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:zcontent:zap_calendar_lite:4.3.4:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""48BF6532-DA1F-4CAA-B48F-4F70F65E2A20"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
CVE-2017-20269,nvd@nist.gov,Modified,2026-06-19T17:16:14.940Z,2026-08-21T13:44:53.970Z,Joomla! Component KissGallery 1.0.0 contains an SQL injection vulnerability that allows unauthenticated attackers to inject SQL commands through the component URL path. Attackers can supply malicious SQL code in the kissgallery endpoint to execute arbitrary database queries and extract sensitive information.,"[{""cpe"":""cpe:2.3:a:terrywcarter:kissgallery:1.0.0:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""1C7CC0F1-7B01-42A0-BC00-4F87E4853A90"",""part"":""a"",""product"":""kissgallery"",""vendor"":""terrywcarter"",""version"":""1.0.0"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""http://terrywcarter.com/""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""https://extensions.joomla.org/extensions/extension/photos-a-images/galleries/kissgallery/""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42494""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-component-kissgallery-sql-injection""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:terrywcarter:kissgallery:1.0.0:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""1C7CC0F1-7B01-42A0-BC00-4F87E4853A90"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
CVE-2017-20270,nvd@nist.gov,Modified,2026-06-19T17:16:15.063Z,2026-08-21T13:56:05.413Z,Joomla! Component Twitch Tv 1.1 contains an SQL injection vulnerability that allows unauthenticated attackers to execute arbitrary SQL queries by injecting malicious code through the username and id parameters. Attackers can send GET requests to index.php with option=com_twitchtv and view parameters containing SQL injection payloads to extract sensitive database information including credentials and configuration data.,"[{""cpe"":""cpe:2.3:a:raindropsinfotech:twitch_tv:1.1:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""5ABC42B4-8531-4CE5-A3E5-090D6DA7F7B3"",""part"":""a"",""product"":""twitch_tv"",""vendor"":""raindropsinfotech"",""version"":""1.1"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""http://www.raindropsinfotech.com/""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Product""],""url"":""https://extensions.joomla.org/extensions/extension/sports-a-games/game-servers/twitch-tv-component/""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42493""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-component-twitch-tv-sql-injection""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:raindropsinfotech:twitch_tv:1.1:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""5ABC42B4-8531-4CE5-A3E5-090D6DA7F7B3"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
CVE-2017-20271,nvd@nist.gov,Modified,2026-06-19T17:16:15.190Z,2026-08-21T13:57:23.917Z,Joomla StreetGuessr Game 1.1.8 contains an SQL injection vulnerability that allows unauthenticated attackers to execute arbitrary SQL queries by injecting malicious code through the catid parameter. Attackers can send GET requests to index.php with the option=com_streetguess&view=maps parameters and inject SQL code in the catid parameter to extract sensitive database information including version and database names.,"[{""cpe"":""cpe:2.3:a:nordmograph:streetguessr_game:1.1.8:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""4393262C-056E-452C-B2F3-2823379C08E4"",""part"":""a"",""product"":""streetguessr_game"",""vendor"":""nordmograph"",""version"":""1.1.8"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42423""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-streetguessr-game-sql-injection-via-catid""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:nordmograph:streetguessr_game:1.1.8:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""4393262C-056E-452C-B2F3-2823379C08E4"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
CVE-2017-20273,nvd@nist.gov,Modified,2026-06-19T17:16:15.430Z,2026-08-21T17:15:28.033Z,Joomla Event Registration Pro Calendar 4.1.3 contains an SQL injection vulnerability that allows unauthenticated attackers to execute arbitrary SQL queries by injecting malicious code through the id parameter. Attackers can send GET requests to index.php with option=com_registrationpro&view=category&id parameter containing SQL injection payloads to extract sensitive database information.,"[{""cpe"":""cpe:2.3:a:joomalshowroom:event_registration_pro_calendar:4.1.3:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""F3748625-6C0A-408E-9BF4-46B826B81538"",""part"":""a"",""product"":""event_registration_pro_calendar"",""vendor"":""joomalshowroom"",""version"":""4.1.3"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42416""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-event-registration-pro-calendar-sql-injection""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:joomalshowroom:event_registration_pro_calendar:4.1.3:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""F3748625-6C0A-408E-9BF4-46B826B81538"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
CVE-2017-20275,nvd@nist.gov,Modified,2026-06-19T17:16:15.677Z,2026-08-21T17:15:51.670Z,Joomla! Component PHP-Bridge 1.2.3 contains an SQL injection vulnerability that allows unauthenticated attackers to execute arbitrary SQL queries by injecting malicious code through the id parameter. Attackers can send GET requests to index.php with option=com_phpbridge&view=phpview parameters and inject SQL code in the id parameter to extract database information including table and column names.,"[{""cpe"":""cpe:2.3:a:henryschorradt:bridge:1.2.3:*:*:*:*:joomla\\!:*:*"",""match_criteria_id"":""06A25B2E-1126-4359-87E9-674245F32C26"",""part"":""a"",""product"":""bridge"",""vendor"":""henryschorradt"",""version"":""1.2.3"",""version_end_excluding"":null,""version_end_including"":null,""version_start_excluding"":null,""version_start_including"":null,""vulnerable"":true}]","[{""cvssData"":{""Automatable"":""NOT_DEFINED"",""Recovery"":""NOT_DEFINED"",""Safety"":""NOT_DEFINED"",""attackComplexity"":""LOW"",""attackRequirements"":""NONE"",""attackVector"":""NETWORK"",""availabilityRequirement"":""NOT_DEFINED"",""baseScore"":8.8,""baseSeverity"":""HIGH"",""confidentialityRequirement"":""NOT_DEFINED"",""exploitMaturity"":""NOT_DEFINED"",""integrityRequirement"":""NOT_DEFINED"",""modifiedAttackComplexity"":""NOT_DEFINED"",""modifiedAttackRequirements"":""NOT_DEFINED"",""modifiedAttackVector"":""NOT_DEFINED"",""modifiedPrivilegesRequired"":""NOT_DEFINED"",""modifiedSubAvailabilityImpact"":""NOT_DEFINED"",""modifiedSubConfidentialityImpact"":""NOT_DEFINED"",""modifiedSubIntegrityImpact"":""NOT_DEFINED"",""modifiedUserInteraction"":""NOT_DEFINED"",""modifiedVulnAvailabilityImpact"":""NOT_DEFINED"",""modifiedVulnConfidentialityImpact"":""NOT_DEFINED"",""modifiedVulnIntegrityImpact"":""NOT_DEFINED"",""privilegesRequired"":""NONE"",""providerUrgency"":""NOT_DEFINED"",""subAvailabilityImpact"":""NONE"",""subConfidentialityImpact"":""NONE"",""subIntegrityImpact"":""NONE"",""userInteraction"":""NONE"",""valueDensity"":""NOT_DEFINED"",""vectorString"":""CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X"",""version"":""4.0"",""vulnAvailabilityImpact"":""NONE"",""vulnConfidentialityImpact"":""HIGH"",""vulnIntegrityImpact"":""LOW"",""vulnerabilityResponseEffort"":""NOT_DEFINED""},""source"":""disclosure@vulncheck.com"",""type"":""Secondary""},{""cvssData"":{""attackComplexity"":""LOW"",""attackVector"":""NETWORK"",""availabilityImpact"":""NONE"",""baseScore"":8.2,""baseSeverity"":""HIGH"",""confidentialityImpact"":""HIGH"",""integrityImpact"":""LOW"",""privilegesRequired"":""NONE"",""scope"":""UNCHANGED"",""userInteraction"":""NONE"",""vectorString"":""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N"",""version"":""3.1""},""exploitabilityScore"":3.9,""impactScore"":4.2,""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""description"":[{""lang"":""en"",""value"":""CWE-89""}],""source"":""disclosure@vulncheck.com"",""type"":""Secondary""}]","[{""source"":""disclosure@vulncheck.com"",""tags"":[""Exploit"",""VDB Entry""],""url"":""https://www.exploit-db.com/exploits/42414""},{""source"":""disclosure@vulncheck.com"",""tags"":[""Third Party Advisory""],""url"":""https://www.vulncheck.com/advisories/joomla-component-php-bridge-sql-injection-via-id-parameter""}]","[{""nodes"":[{""cpeMatch"":[{""criteria"":""cpe:2.3:a:henryschorradt:bridge:1.2.3:*:*:*:*:joomla\\!:*:*"",""matchCriteriaId"":""06A25B2E-1126-4359-87E9-674245F32C26"",""vulnerable"":true}],""negate"":false,""operator"":""OR""}]}]"
